Fecha	Magnitud Ml	Longitud	Latitud	Municipio	Profundidad Km	Estado
31/03/2017	1,4	-75,97	5,812	HISPANIA	59,3	Revisado
31/03/2017	1,5	-75,692	7,094	TOLEDO	2,4	Revisado
31/03/2017	1,5	-76,104	7,045	URAMITA	0	Revisado
01/04/2017	1,1	-76,188	7,114	DABEIBA	0	Revisado
01/04/2017	1,5	-74,257	6,079	PUERTO NARE	25,1	Revisado
02/04/2017	1,2	-76,357	6,964	DABEIBA	13,2	Revisado
02/04/2017	,9	-74,438	6,342	PUERTO BERRIO	55,9	Revisado
02/04/2017	2	-74,456	6,804	PUERTO BERRIO	48	Revisado
02/04/2017	1,1	-76,202	7,119	DABEIBA	0	Revisado
02/04/2017	1	-76,223	6,888	URAMITA	2,4	Revisado
02/04/2017	1,7	-76,739	6,806	MURINDO	12,2	Revisado
02/04/2017	1,4	-74,55	7,656	EL BAGRE	47,2	Revisado
02/04/2017	1,3	-74,523	7,667	EL BAGRE	41,7	Revisado
03/04/2017	1,3	-74,291	6,119	PUERTO NARE	21,6	Revisado
03/04/2017	2,4	-75,006	7,473	ZARAGOZA	34,8	Revisado
03/04/2017	1,7	-76,765	6,511	VIGIA DEL FUERTE	9,6	Revisado
04/04/2017	1,6	-76,168	6,91	URAMITA	0	Revisado
04/04/2017	1,4	-74,81	6,307	CARACOLI	10,4	Revisado
05/04/2017	1,2	-74,309	6,112	PUERTO NARE	20,8	Revisado
05/04/2017	1,3	-76,107	6,244	URRAO	19	Revisado
05/04/2017	1,5	-73,743	6,884	YONDO	101,4	Revisado
05/04/2017	1,2	-74,852	6,675	YALI	7,2	Revisado
06/04/2017	1,8	-76,863	7,187	MURINDO	24,8	Revisado
06/04/2017	1,5	-73,968	7,094	YONDO	89,9	Revisado
06/04/2017	1,6	-75,244	7,583	CACERES	19,7	Revisado
07/04/2017	1,1	-76,243	7,157	DABEIBA	16,7	Revisado
07/04/2017	1,8	-74,562	7,929	NECHI	6,1	Revisado
07/04/2017	1,8	-76,643	6,821	MURINDO	5,7	Revisado
08/04/2017	1,4	-76,663	6,841	MURINDO	4,7	Revisado
08/04/2017	1,2	-76,11	7,112	DABEIBA	0	Revisado
08/04/2017	1,8	-76,838	6,865	MURINDO	62,2	Revisado
08/04/2017	2,1	-76,709	7,875	APARTADO	34	Revisado
08/04/2017	2	-76,758	7,894	APARTADO	35,4	Revisado
09/04/2017	1,7	-76,548	6,444	VIGIA DEL FUERTE	0	Revisado
09/04/2017	1,6	-76,675	6,411	VIGIA DEL FUERTE	14	Revisado
09/04/2017	1,3	-76,957	6,871	MURINDO	1,9	Revisado
09/04/2017	1,5	-75,213	6,535	SANTO DOMINGO	4	Revisado
10/04/2017	1,9	-74,675	5,78	PUERTO TRIUNFO	4	Revisado
10/04/2017	,9	-76,192	7,095	DABEIBA	0	Revisado
10/04/2017	2	-75,221	7,411	CACERES	29,6	Revisado
10/04/2017	2,6	-76,639	6,82	MURINDO	0	Revisado
11/04/2017	1,7	-76,735	6,652	VIGIA DEL FUERTE	18	Revisado
11/04/2017	1,4	-74,109	6,906	YONDO	81,8	Revisado
11/04/2017	1,4	-74,866	5,838	PUERTO TRIUNFO	2,9	Revisado
12/04/2017	1,4	-76,54	6,9	MURINDO	10,7	Revisado
12/04/2017	1,3	-76,692	6,655	VIGIA DEL FUERTE	17,9	Revisado
12/04/2017	1,1	-74,258	6,118	PUERTO NARE	,6	Revisado
12/04/2017	2	-75,077	7,862	CAUCASIA	18,5	Revisado
12/04/2017	1,5	-75,097	7,797	CAUCASIA	21,8	Revisado
12/04/2017	2,5	-76,147	6,903	URAMITA	0	Revisado
13/04/2017	1,4	-75,798	7,144	ITUANGO	20,1	Revisado
13/04/2017	1,4	-75,45	7,355	VALDIVIA	2,5	Revisado
13/04/2017	1,8	-76,124	7,069	DABEIBA	0	Revisado
13/04/2017	1,8	-76,798	6,668	VIGIA DEL FUERTE	13,1	Revisado
